ST MATTHEW'S AME CHURCH,215-23 N 57TH ST
ST MICHAEL CEMETERY,1445 N 2ND ST
ST MICHAEL CHURCH,1417 N 2ND ST
ST MICHAEL'S EVANGELICAL LUTHERAN CEMETERY,6679 GERMANTOWN AVE
ST MICHAEL'S EVANGELICAL LUTHERAN CHURCH,6679 GERMANTOWN AVE
ST MICHAEL'S LUTHERAN CHURCH,2139-45 E CUMBERLAND ST
ST MONICA JUNIOR SCHOOL (ANNEX) SCHOOL,1700 RITNER ST
ST MONICA ROMAN CATHOLIC CHURCH,1700 RITNER ST
ST MONICA SENIOR SCHOOL,2500 S 16TH ST
ST NICHOLAS CHURCH,2400 POPLAR ST
ST NICHOLAS OF TOLENTINE CHURCH,1712-24 S 9TH ST
ST PAUL AME CHURCH,8200 LINDBERGH BLVD
ST PAUL CHAPEL BAPTIST CHURCH,1217-19 S 21ST ST
ST PAUL TABERNACLE,4824-26 SAYBROOK AVE
ST PAUL UH CHURCH,3832 HAVERFORD AVE
ST PAUL'S BAPTIST CHURCH,628-34 N 10TH ST
ST PAUL'S EPISCOPAL CHURCH,22 E CHESTNUT HILL AVE
ST PAUL'S EVANGELICAL LUTHERAN CHURCH,5900 N 5TH ST
ST PAULS CHURCH,6365 LANCASTER AVE
ST PAULS COMMUNITY CENTER,628-34 N 10TH ST
ST PAULS HOLY CHURCH,5724-30 HAVERFORD AVE
ST PETERS CLAVERS CHURCH,1200-10 LOMBARD ST
ST PETERS CLAVERS SCHOOL,1212-28 LOMBARD ST
ST PETERS THE APOSTLE CHURCH,1001-19 N 5TH ST
ST PETERS THE APOSTLE SCHOOL,1001-19 N 5TH ST
ST PETER'S CHURCH OF GOD,6006 LANSDOWNE AVE
ST PETER'S COMMUNITY CHURCH,6027-29 CHESTNUT ST
ST PETER'S EVANGELICAL LUTHERAN CHURCH,7401-07 BRIAR RD
ST PETERS FBH CHURCH,5700-02 VINE ST
ST PETERS SCHOOL,400-36 S 3RD ST
ST PETRI EVANGELICAL LUTHERAN CHURCH,6816 JACKSON ST
ST PHILIP NERI CHURCH,228 QUEEN ST
ST PHILLIPS EVANGELICAL CHURCH,525 N 53RD ST
ST PHILLIPS UNITED METHODIST CHURCH,700-10 E TIOGA ST
ST PHILLIP'S BAPTIST CHURCH,1220-28 N 6TH ST
ST PIO CATHOLIC REGIONAL SCHOOL,1800 POLLOCK ST
ST RAYMOND SCHOOL,1330 VERNON RD
ST RAYMOND'S CATHOLIC CHURCH,1330 VERNON RD
ST RICHARD'S CATHOLIC CHURCH,1800 POLLOCK ST
ST RITA'S CHURCH,1156-62 S BROAD ST
ST ROSE OF LIMA SCHOOL,1508-46 N WANAMAKER ST
ST SIMON THE CYRENIAN CHURCH,1401-11 S 22ND ST
ST STEPHAN'S ORTHODOX CATHEDRAL,8590-98 VERREE RD
ST STEPHEN'S BAPTIST CHURCH,2063-69 MOUNTAIN ST
ST STEPHEN'S BAPTIST CHURCH,3913-15 N BROAD ST
ST STEPHEN'S CHURCH,919-21 LUDLOW ST
ST STEPHEN'S MEMORIAL BAPTIST CHURCH,15 HARVEY ST
ST THERESE OF THE CHILD JESUS,6613 ARDLEIGH ST
ST THOMAS MALANKARA ORTHODOX,5420-24 MASCHER ST
ST THOMAS ORTHODOX CHURCH,1009 UNRUH AVE
ST THOMAS UNITED METHODIST CHURCH,4701 TACKAWANNA ST
ST TIMOTHHY LUTHERAN CHURCH,7998 1/2 OXFORD AVE
ST TIMOTHY'S CATHOLIC CHURCH,3001 LEVICK ST
ST TIMOTHY'S EPISCOPAL CHURCH,5712 RIDGE AVE
ST TIMOTHY'S EPISCOPAL CHURCH CEMETERY,5712 RIDGE AVE
ST VERONICA SCHOOL,3501-25 N 6TH ST
ST VERONICA'S CHURCH,3501-25 N 6TH ST
ST VINCENT TACONY,7101 MILNOR ST
ST VINCENT'S CHURCH,101-23 E PRICE ST
ST VLADIMIR UKRAINIAN ORTHODOX CATHEDRAL,6740 N 5TH ST
ST WILLIAM'S CATHOLIC CHURCH,6200 RISING SUN AVE
ST. AGATHA - ST. JAMES CHURCH,3728 CHESTNUT ST
ST. ALBERT HALL,625-35 E WISTER ST
ST. ANDREW'S IN THE FIELD EPISCOPAL CHURCH,500 SOMERTON AVE
ST. ANDREWS FELLOWSHIP BAPTIST CHURCH,4910-12 WAYNE AVE
ST. AUGUSTINE CHURCH,246-60 N 4TH ST
ST. BARTHOLOMEW'S ROMAN CATHOLIC CHURCH,5524-48 HARBISON AVE
ST. BASIL COURT,625-35 E WISTER ST
ST. BENILDE TOWER,625-35 E WISTER ST
ST. BERNARD HALL,625-35 E WISTER ST
ST. CASSIAN HALL,625-35 E WISTER ST
ST. CHRISTOPHER SCHOOL,13305 PROCTOR RD
ST. CHRISTOPHER'S HOSPITAL FOR CHILDREN,3601 A ST
ST. CHRISTOPHER'S HOSPITAL FOR CHILDREN AT SEDGLEY,926 W SEDGLEY AVE
ST. DAVID'S EPISCOPAL CHURCH,150 DUPONT ST
ST. DAVID'S EPISCOPAL CHURCH CEMETERY,150 DUPONT ST
ST. DENIS HALL,625-35 E WISTER ST
ST. EDWARD HALL,625-35 E WISTER ST
ST. FRANCIS DE SALES CATHOLIC CHURCH,917 S 47TH ST
ST. FRANCIS HALL,625-35 E WISTER ST
ST. GEORGE GREEK ORTHODOX CATHEDRAL,250-56 S 8TH ST
ST. GEORGE HALL,625-35 E WISTER ST
ST. GREGORY ARMENIAN APOSTOLIC CHURCH,8701 RIDGE AVE
ST. HILARY HALL,625-35 E WISTER ST
ST. HUBERT CATHOLIC HIGH SCHOOL FOR GIRLS,7300 TORRESDALE AVE
ST. HUGH OF CLUNY CHURCH,145 W TIOGA ST
ST. IGNATIUS NURSING HOME,4401 HAVERFORD AVE
ST. JAMES CHURCH CEMETERY,111 E TABOR RD
ST. JAMES HOLY CHURCH,7230 OGONTZ AVE
ST. JAMES UNITED METHODIST CHURCH,111 E TABOR RD
ST. JAMES THE LESS CEMETERY,3201 W HUNTING PARK AVE
ST. JEROME HALL,625-35 E WISTER ST
ST. JOHN NEUMANN HALL,625-35 E WISTER ST
ST. JOHN NEUMANN HALL ANNEX,625-35 E WISTER ST
ST. JOHN NEUMANN PLACE,2600 MOORE ST
ST. JOSAPHAT'S CHURCH,124 COTTON ST
ST. JOSEPH'S RETIREMENT COMMUNITY,1515-27 W ALLEGHENY AVE
ST. JOSEPH?S HALL,9801 FRANKFORD AVE
ST. JUDE SYRO MALANKARA CATHOLIC CHURCH,258 W CHELTENHAM AVE
ST. KATHARINE HALL,625-35 E WISTER ST
ST. LEONARD'S COMPLEX,3401-99 SPRUCE ST
ST. LUCY DAY SCHOOL FOR CHILDREN WITH VISUAL IMPAIRMENTS,1301 E HUNTING PARK AVE
ST. LUKE'S EPISCOPAL CHURCH,5419 GERMANTOWN AVE
ST. LUKE'S EPISCOPAL CHURCH CEMETERY,5419 GERMANTOWN AVE
ST. LUKE'S 2ND BORN EARLY APOSTLE CHURCH OF GOD,2926-28 GERMANTOWN AVE
ST. MADELINE SOPHIE ROMAN CATHOLIC CHURCH,6440 GREENE ST
ST. MARTHA'S,11301 ACADEMY RD
ST. MARY MAGDALEN DE PAZZI CHURCH,710-20 MONTROSE ST
ST. MARY OF THE ASSUMPTION CATHOLIC CHURCH,176 CONARROE ST
ST. MARY'S MALANKARA ORTHODOX SYRIAN CATHEDRAL,1424 ORTHODOX ST
ST. MATTHEW'S RECTORY,3000 COTTMAN AVE
ST. MIGUEL COURT TOWNHOUSES,625-35 E WISTER ST
ST. MONICA CENTER FOR REHABILITATION & HEALTHCARE,2509 S 4TH ST
ST. MUTIEN HALL,625-35 E WISTER ST
ST. NICHOLAS RUSSIAN ORTHODOX CHURCH,811 N 7TH ST
ST. PAUL'S HOUSE,3200 BELGRADE ST
ST. PETER'S CEMETERY,400-36 S 3RD ST
ST. PETER'S CHURCH,400-36 S 3RD ST
ST. STANISLAUS CHURCH,234-44 FITZWATER ST
ST. STANISLAUS SCHOOL,234-44 FITZWATER ST
ST. THERESA COURT APARTMENTS,625-35 E WISTER ST
ST. THOMAS AQUINAS CHURCH,1616 S 17TH ST
ST. THOMAS AQUINAS SCHOOL,1616 S 17TH ST
ST. THOMAS EVANGELICAL CHURCH OF INDIA,9037-39 EASTVIEW RD
ST. VALENTINE'S POLISH NATL. CATHOLIC CHURCH,2326-28 MARGARET ST
ST.JOSEPH'S HOSPITAL (DBA NORTH PHILADELPHIA HEALTH SYSTEM),1600-50 W GIRARD AVE
STAG,5001 GRANT AVE
STAGECRAFTERS THEATER,8126 GERMANTOWN AVE
STAR HARBOR SENIOR COMMUNITY CENTER,4700 SPRINGFIELD AVE
STAR OF HOPE BAPTIST CHURCH,7137 HEGERMAN ST
STARBUCKS,4201-47 WOODLAND AVE
STARFINDER FOUNDATION SOCCER FIELD,4015 MAIN ST
STARR GARDEN PLAYGROUND,600-44 LOMBARD ST
STARR GARDEN PLAYGROUND BUILDING,600-44 LOMBARD ST
STATION CENTER,2900 N BROAD ST
STEINBER CONFERENCE CENTER,3401-99 SPRUCE ST
STEINBER HALL,3401-99 SPRUCE ST
STELLA MARIS SCHOOL,2901 S 10TH ST
STELLA MARIS SCHOOL FIELDS,1000 BIGLER ST
STELLAR-CHANCE LABORATORIES,3401 CIVIC CENTER BLVD
STEMMLER HALL,3401 CIVIC CENTER BLVD
STENTON MANSION,4600 N 16TH ST
STENTON PARK PLAYGROUND,4600 N 16TH ST
STENTON PARK PLAYGROUND BUILDING,4600 N 16TH ST
STEPHAN DECATUR ELEMENTARY SCHOOL,3500 ACADEMY RD
STEPHEN B. GIRARD,2500 SPRING GARDEN ST
STEPHEN GIRARD,2101 SHUNK ST
STEPHEN GIRARD BUILDING,19-25 S 12TH ST
STEPHEN GIRARD ELEMENTARY SCHOOL,2100 S 18TH ST
STEPHEN GIRARD SMOKEHOUSE,2101 SHUNK ST
STEPHEN GIRARD TOILET BUILDING,2101 SHUNK ST
STEPHEN KLEIN WELLNESS CENTER,2108 CECIL B MOORE AVE
STEPPING STONES II LEARNING ACADEMY,3150 WILLITS RD
STEPPING STONES LEARNING ACADEMY,2329-35 RIDGE AVE
STERN HEBREW HS,8244 SUMMERDALE AVE
STETSON HOSPITAL,1731 N 4TH ST
STEVENSON LANE RESIDENCE,9801 FRANKFORD AVE
STILES HALL,222-48 N BROAD ST
STILES STREET PLAYLOT,1608 W STILES ST
STINGER SQUARE PLAYGROUND,1400 S 32ND ST
STINGER SQUARE PLAYGROUND BUILDING,1400 S 32ND ST
STITELER HALL,3401-99 SPRUCE ST
STOKLEY PLAYGROUND,3000 EDGEMONT ST
STOKLEY PLAYGROUND BUILDING,3000 EDGEMONT ST
STONE AGE IN AMERICAN,KELLY DR BETWEEN BOAT ROW & ELLEN PHILLIPS SAMUEL MEMORIAL
STONE BASIN (WELLHEAD),KELLY DR
STONE HOUSE,625-35 E WISTER ST
STOP & SHOP,5037-41 WISSAHICKON AVE
STOUFFER COLLEGE HOUSE,3401-99 SPRUCE ST
STRAHLE BARN (PEGASUS RIDING),8295 BUSTLETON AVE
STRAHLE HOUSE (PEGASUS RIDING),8295 BUSTLETON AVE
STRAIGHT GATE CHURCH,6000-04 ELMWOOD AVE
STRAIGHT GATE CHURCH OF CHRIST,1924 E CLEARFIELD ST
STRAWBERRY MANSION HIGH SCHOOL,3133 RIDGE AVE
STRAWBERRY MANSION PLAYGROUND,3369 RIDGE AVE
STRAWBERRY SQUARE,2301 N 29TH ST
STRAYER UNIVERSITY,1600-46 RACE ST
STREET LIGHTING SHOP,701 RAMONA AVE
STREET TRAINING CENTER FACILITY,8401 STATE RD
STROLLER AND WHEELCHAIR RENTAL,3400 W GIRARD AVE
STUDENT ACTIVITY CENTER,2900 W QUEEN LN
STUDENT AFFAIRS,2900 W QUEEN LN
STUDENT ED CENTER-DELAWARE VALLEY,13550 BUSTLETON AVE
STUDENT EDUCATION CENTER DELAWARE VALLEY HIGH SCHOOL CC HIGH SCHOOL,204-06 S 13TH ST
STUDENT HEALTH CENTER,625-35 E WISTER ST
STUDY LOUNGE,4201-47 WOODLAND AVE
STURGIS PLAYGROUND,200-20 W 65TH AVE
STURGIS PLAYGROUND BUILDING,200-20 W 65TH AVE
SUBURBAN STATION,1601 JOHN F KENNEDY BLVD
SUGER HOUSE CASINO,1001-99 N DELAWARE AVE
SULLIVAN HALL,1801 N BROAD ST
SUMAC & ROCHELLE WAR MEMORIAL,100 SUMAC ST
SUMMER HOUSE,9701 GERMANTOWN AVE
SUMMERFIELD CHURCH,2215-27 E DAUPHIN ST
SUMMIT CHILDREN'S PROGRAM,6757 GREENE ST
SUMMIT PRESBYTERIAN CHURCH,6757 GREENE ST
SUNDIAL,BELMONT AVE & N HORTICULTURAL DR
SUNSHINE LEARNING ACADEMY,7101-25 FRANKFORD AVE
SUPPORTIVE HOUSING - APPLETREE FAMILY CENTER,1443-49 CHERRY ST
SUPPORTIVE HOUSING - ARCH ST,1320-22 ARCH ST
SUPPORTIVE HOUSING - BAINBRIDGE,1221-23 BAINBRIDGE ST
SUPPORTIVE HOUSING - CHESTNUT,4301-29 CHESTNUT ST
SUPPORTIVE HOUSING - GATEWAY SHELTER,444-64 N PERCY ST
SUPPORTIVE HOUSING - ROOSEVELT DARBY INTAKE CENTER,801-11 N BROAD ST
SUPPORTIVE HOUSING - STENTON SHELTER,1314-32 E TULPEHOCKEN ST
SUPPORTIVE HOUSING - WOODSTOCK SHELTER,2000 W NORRIS ST
SUPREME COUNCIL OF THE HOUSE OF JACOB,245 W CHAMPLOST AVE
SURVEY 5TH DISTRICT OFFICE,6601 RISING SUN AVE
SWEET BRIAR AREA,3700 SWEET BRIAR LN
SWEET UNION BAPTIST CHURCH,1536-38 N 59TH ST
SWEETEN ALUMNI HOUSE,3401-99 SPRUCE ST
SWANSON ARTS AND TECHNOLOGY CENTER (CTE) HIGH SCHOOL,2750 RED LION RD
SYLVAN LEARNING OF PHILADELPHIA,6537 E ROOSEVELT BLVD
SYMPHONY HOUSE,400-26 S BROAD ST
TANEY 2950 N,2950 N TANEY ST
TB CLINIC AT FLICK MEMORIAL CENTER,311-13 S 13TH ST
TLC TOO SCHOOL,5700 N 11TH ST
TV BROADCASTING STUDIO,340 DOMINO LN
TABERNACLE ACADEMY,506 W CUMBERLAND ST
TABERNACLE HAITIAN OF PHILADELPHIA,206 E WISTER ST
TABERNACLE LUTHERAN CHURCH,5835-49 SPRUCE ST
TABERNACLE UNITED CHURCH,3700R CHESTNUT ST
TABERNACLE OF PRAISE FAMILY,2068-70 RIDGE AVE
TABERNACULO DE AMOR,2509 N FRONT ST
TABERNACULO DE LA FE,311-25 E HUNTING PARK AVE
TABOR CHILDREN?S SERVICES,53-69 E ARMAT ST
TABOR LUTHERAN CHURCH,4843 MASCHER ST
TACONY ACADEMY CHARTER,1340 RHAWN ST
TACONY ACADEMY CHARTER HS,6201 KEYSTONE ST
TACONY ACADEMY CHARTER SCHOOL (ANNEX),6200 RISING SUN AVE
TACONY ACCESS/LAUNCH,7071R MILNOR ST
TACONY BAPTIST CHURCH,6930 HEGERMAN ST
TACONY CREEK PARK,
TACONY POST OFFICE,4620 LONGSHORE AVE
TAKAYAMA PAGODA,BELMONT AVE & N HORTICULTURAL DR
TALMUDICAL YESHIVA OF PHILADELPHIA HIGH SCHOOL,6041 DREXEL RD
TANENBAUM HALL,3401-99 SPRUCE ST
TARA HALL,5700-30 CITY AVE
TARBIYATUL ILM ACADEMY INC. SCHOOL,2080-98 CASTOR AVE
TARGET CENTER,1-79 MIFFLIN ST
TARGET CENTER,7422 BUSTLETON AVE
TARKEN RECREATION CENTER,6250 FRONTENAC ST
TARKEN RECREATION CENTER BUILDING,6250 FRONTENAC ST
TARKEN RECREATION CENTER ICE RINK,6250 FRONTENAC ST
TASKER STREET BAPTIST CHURCH,2008-16 TASKER ST
TAYLOR MEMORIAL BAPTIST CHURCH,3813-21 GERMANTOWN AVE
TAYLOR STREET PARK,1424 S TAYLOR ST
TAYLOR TABERNACLE,425-27 S 61ST ST
TEDYUSCUNG,FORBIDDEN DR NEAR REX AVE
TEMPLE BETH AMI,9201 OLD BUSTLETON AVE
TEMPLE BETH ZION-BETH ISRAEL,1800-04 SPRUCE ST
TEMPLE MENORAH KENESETH CHAI,4301-03 TYSON AVE
TEMPLE NORTHEASTERN AMBULATORY HOSPITAL,2301 E ALLEGHENY AVE
TEMPLE PERFORMING ARTS CENTER,1801 N BROAD ST
TEMPLE PHYSICIANS,6537 E ROOSEVELT BLVD
TEMPLE PHYSICIANS FELTONVILLE,4857 C ST
TEMPLE PHYSICIANS AT BROAD,2709-11 N BROAD ST
TEMPLE SHALOM HOUSE OF YAHVAH,1524 W CHAMPLOST AVE
TEMPLE TOWERS (STUDENT HOUSING),1801 N BROAD ST
TEMPLE UNITED PRESBYTERIAN CHURCH,1300-06 N 7TH ST
TEMPLE UNIVERSITY CENTER CITY CAMPUS,1501-39 MARKET ST
TEMPLE UNIVERSITY EPISCOPAL HOSPITAL,100 E LEHIGH AVE
TEMPLE UNIVERSITY HEALTH SCIENCE CAMPUS,3241 N BROAD ST
TEMPLE UNIVERSITY HEALTH SCIENCE CAMPUS,3340 N BROAD ST
TEMPLE UNIVERSITY HOSPITAL,3519-33 N BROAD ST
TEMPLE UNIVERSITY MAIN CAMPUS,1801 N BROAD ST
TEMPLE UNIVERSITY SCHOOL OF PODIATRIC MEDICINE,800-20 RACE ST
TEMPLE UNIVERSITY TECH CENTER & WELCOME CENTER,1801 N BROAD ST
TEMPLE OF CHRIST CHURCH,4862 LANCASTER AVE
TEMPLE OF CHRIST OF THE APOSTOLIC FAITH,770 W TABOR RD
TEMPLE OF DIVINE LOVE CHURCH,1518-20 W GIRARD AVE
TEMPLE OF FAITH COMMUNITY CHURCH,1532-42 SELLERS ST
TEMPLE OF JESUS CHRIST,2903-05 W SUSQUEHANNA AVE
TEMPLE OF PRAISE BAPTIST CHURCH,1905-09 CECIL B MOORE AVE
TEMPLO PENTECOSTAL,501 W SEDGLEY AVE
TEN PENN CENTER,1801-21 MARKET ST
TENDER LOVING CHILDCARE,4600 HOWELL ST
10TH MEMORIAL BAPTIST CHURCH,1900-06 MASTER ST
10TH PRESBYTERIAN CHURCH,1701 DELANCEY PL
TERRY ANIMAL HOSPITAL,3606 WELSH RD
THADDEUS KOSCIUSZKO NATIONAL MEMORIAL,342 S 3RD ST
THANKFUL BAPTIST CHURCH,1608 W ALLEGHENY AVE
THANKFUL LEARNING CENTER PRE-SCHOOL,3200-02 N 17TH ST
THE ARCH,3401-99 SPRUCE ST
THE ASTHMA CENTER,818-24 PINE ST
THE BAPTIST WORSHIP CENTER,2222 WAKELING ST
THE BEAUTY INSTITUTE - SCHWARZKOPF PROFESSIONAL,9902 E ROOSEVELT BLVD
THE BELLEVUE,200 S BROAD ST
THE BIBLE CHURCH OF THE LORD JESUS CHRIST OF THE APOSTOLIC FAITH,624 S 60TH ST
THE BOURSE,111 S INDEPENDENCE MALL E
THE BRIDGE,1100 ADAMS AVE
THE CEDAR WORKS,711-13 S 50TH ST
THE CHILDREN'S HOSPITAL OF PHILADELPHIA,3401 CIVIC CENTER BLVD
THE CHRISTIAN CHURCH IN PHILADELPHIA,8040 STENTON AVE
THE CHURCH OF THE LORD JESUS CHRIST OF THE APOSTOLIC FAITH,440 W PENN ST
"THE CHURCH OF THE LORD JESUS CHRIST OF THE APOSTOLIC FAITH, INC. HEADQUARTERS",4833-35 BALTIMORE AVE
THE CHURCH OF BIBLE,1300 S 58TH ST
THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,3913-19 CHESTNUT ST
THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,4710-24 N BROAD ST
THE CHURCH OF JESUS CHRIST OF PHILADELPHIA,1317 N 52ND ST
THE CHURCH OF JESUS CHRIST OF THE LATTER-DAT SAINTS,1739 VINE ST
THE CHURCH OF PHILADELPHIA,1629 SNYDER AVE
THE CHURCH OF ST. LUKE AND THE EPIPHANY,318-30 S 13TH ST
THE CITY SCHOOL,854-70 N 24TH ST
THE CITY SCHOOL HIGH SCHOOL,315 S 17TH ST
THE CITY SCHOOL AT SPRUCE HILL,425 S 42ND ST
THE CITY SCHOOL AT WALNUT STREET,4501-09 WALNUT ST
THE CLIFFS HOUSE,3400 RESERVOIR DR
THE COMMON PLACE,5740 CHESTER AVE
THE CONCORD SCHOOL HOUSE AND UPPER BURYING GROUND OF GERMANTOWN,6309 GERMANTOWN AVE
THE CONSORTIUM,3401-99 SPRUCE ST
THE COOPERATIVE NURSERY SCHOOL,6502 LINCOLN DR
THE COURT AT AVENUE,2550 GRANT AVE
THE DESIGN CENTER AT PHILADELPHIA UNIVERSITY,3300 W SCHOOL HOUSE LN
THE DREXEL BUILDING,1435-41 WALNUT ST
THE ELLINGTON,1500 CHESTNUT ST
THE FILLMORE PHILADELPHIA,1009 CANAL ST
THE FREE CHURCH OF ST JOHN EPISCOPAL,3076 EMERALD ST
THE FRIENDLY CHURCH,1432 N 16TH ST
THE FULL GOSPEL LIVING WORD,7039 GREENWAY AVE
"THE GALLAGHER ATHLETIC, RECREATION AND CONVOCATION CENTER",3300 W SCHOOL HOUSE LN
THE GALLERY AT MARKET EAST,907-37 MARKET ST
THE GATES OF HELL,BENJAMIN FRANKLIN PKWY
THE GIVING TREE INFANTS+ TODDLERS,420-28 BAINBRIDGE ST
THE GOSPEL FAITH MISSION INTERNATIONAL,4630 VAN KIRK ST
THE GRACE OF GOD CHURCH,2121-25 E CUMBERLAND ST
THE GRAHAM BUILDING,30-36 S 15TH ST
THE HEALING WATER PENTECOSTAL CHURCH,1709 S 56TH ST
THE HOUSE OF GOD FOR ALL PEOPLE,4201 FRANKFORD AVE
THE HOUSE OF PRAYER FOR ALL PEOPLE,2125-33 CHELTEN AVE
THE HUB,3401-99 SPRUCE ST
THE INN AT PENN,3401-99 SPRUCE ST
THE JOURNEYER,BELMONT AVE & N HORTICULTURAL DR
THE KANBAR CAMPUS CENTER,3300 W SCHOOL HOUSE LN
THE LAWRENCE N. FIELD DEC CENTER,3300 W SCHOOL HOUSE LN
THE LEFT BANK,3401-99 SPRUCE ST
THE LEGACY AT DREXEL ARMS,5700-30 CITY AVE
THE LIACOURAS CENTER,1801 N BROAD ST
THE LIBRARY COMPANY OF PHILADELPHIA,1314-18 LOCUST ST
THE LITTLE WHITE CHAPEL,5522 WOODLAND AVE
THE LIVING WORD,142-46 N 17TH ST
THE MAGNOLIA GARDEN,408-26 LOCUST ST
THE MEDICINE MAN,DAUPHIN & 33RD STREETS
"THE ORIGINAL APOSTOLIC FAITH CHURCH OF THE LORD JESUS CHRIST, INC",1512-16 N BROAD ST
THE PAUL ROBESON HOUSE,4949 WALNUT ST
THE PENNSYLVANIA BUILDING,111 S 15TH ST
THE PEOPLES BAPTIST CHURCH,5039-41 BALTIMORE AVE
THE PHILADELPHIA CS FOR ARTS AND SCIENCES AT HR EDMUND SCHOOL,1197 HAWORTH ST
THE PHILADELPHIA CENTER FOR ARTS AND TECHNOLOGY,2106-16 HAINES ST
THE PHILADELPHIA ELECTRIC COMPANY BUILDING,7735 GERMANTOWN AVE
THE PHILADELPHIA INQUIRER,400 N BROAD ST
THE PHILADELPHIA PRAYER CLINIC CHURCH,961-71 N 7TH ST
THE PHILADELPHIA PROTESTANT HOME,6401 MARTINS MILL RD
THE PHILADELPHIA PYRAMID CLUB,1517 W GIRARD AVE
THE PHOENIX,1622-50 ARCH ST
THE PILGRIM,KELLY DR & LEMON HILL DR
THE PLACE (STEPHEN GIRARD FARMHOUSE),2101 SHUNK ST
THE PLAZA (ATDL),5700-30 CITY AVE
THE PLAZA AT CHELTEN,5834 PULASKI AVE
THE POINT,625-35 E WISTER ST
THE PRESBYTERIAN CHURCH OF CHESTNUT HILL,8855 GERMANTOWN AVE
THE PURITAN,KELLY DR
THE QUADRANGLE,3401-99 SPRUCE ST
THE QUAKER,KELLY DR
THE RADIAN,3401-99 SPRUCE ST
THE RESTAURANT SCHOOL AT WALNUT HILL COLLEGE,4205-07 WALNUT ST
THE REVOLUTIONARY WAR SOLDIER,KELLY DR
THE RITTENHOUSE,1900 WALNUT ST
THE RITZ-CARLTON,1400 S PENN SQ
THE ROSENBACH MUSEUM & LIBRARY,2008 DELANCEY PL
THE SEED CENTER,3300 W SCHOOL HOUSE LN
THE SCHMIDT?S COMMONS,1001 N 2ND ST
THE SCHUYLKILL CENTER,101 SPRING LN
THE SEDGWICK THEATER,7133-43 GERMANTOWN AVE
THE SHOPPERS AT RAWNHURST,7938-80 DUNGAN RD
THE SHOPS AT ARAMINGO,2400 WHEATSHEAF LN
THE SHOPS AT BREWERY TOWN,3101 W GIRARD AVE
THE SHOPS AT RED LION,9951-75 BUSTLETON AVE
THE SHOPS ON LIACOURAS WALK,1801 N BROAD ST
THE SPRING GARDENS COMMUNITY GARDEN,1817 WALLACE ST
THE STATESMAN,KELLY DR
THE STERLING,1801 JOHN F KENNEDY BLVD
THE TEMPLE OF PRAYER,5516-30 CHESTNUT ST
THE THINKER,BENJAMIN FRANKLIN PKWY
THE TREEHOUSE,3400 W GIRARD AVE
THE TUTTLEMAN CENTER,3300 W SCHOOL HOUSE LN
THE UNION LEAGUE,140 S BROAD ST
THE VIEW AT MONTGOMERY (PRIVATELY DEVELOPED HOUSING),1801 N BROAD ST
THE WANAMAKER BUILDING,1301-25 CHESTNUT ST
THE WEDDING CHAPEL PENNSYLVANIA,8100 FRANKFORD AVE
THE WEDGES,E FAIRMOUNT PARK KELLY DR & SEDGLEY DR
THE WESTWOOD SCHOOL ELEMENTARY SCHOOL,6801-17 N 16TH ST
THE WORKSHOP SCHOOL HIGH SCHOOL,221-41 HANSON ST
THE WRESTLERS,BELMONT AVE & N HORTICULTURAL DR
THEATRE OF THE LIVING ARTS,334-36 SOUTH ST
THEODORE ROOSEVELT MIDDLE SCHOOL,430 E WASHINGTON LN
THINKING OUT-THE BOX LC,1488 N 52ND ST
3RD ETERNAL BAPTIST CHURCH,5362 CHEW AVE
3RD NEI BAPTIST MISSIONARY,5145-47 DELANCEY ST
THOMAS A. EDISON HIGH SCHOOL,151 W LUZERNE ST
THOMAS EAKINS CARETAKER'S HOUSE,1729 MOUNT VERNON ST
THOMAS EAKINS HOUSE,1729 MOUNT VERNON ST
THOMAS EAKINS HOUSE ANNEX,1729 MOUNT VERNON ST
THOMAS FITZSIMONS,200 N 18TH ST
THOMAS G. MORTON ELEMENTARY SCHOOL,6226 ELMWOOD AVE
THOMAS HOLME ELEMENTARY SCHOOL,9152 ACADEMY RD
THOMAS JEFFERSON UNIVERSITY,800-34 WALNUT ST
THOMAS JEFFERSON UNIVERSITY HOSPITALS METHODIST,2301 S BROAD ST
THOMAS JR MASTERY CHARTER SCHOOL,2746 S 9TH ST
THOMAS K. FINLETTER ACADEMICS PLUS SCHOOL,6101 N FRONT ST
THOMAS M. PIERCE ELEMENTARY SCHOOL,2829-59 N 23RD ST
THOMAS MANSION,6331 WISSAHICKON AVE
THOMAS MANSION GARAGE,6331 WISSAHICKON AVE
THOMAS MIFFLIN SCHOOL,3500 MIDVALE AVE
THOMAS MILL ROAD COMFORT STATION,8950 THOMAS MILL RD
THOMAS MILL ROAD DAM,8950 THOMAS MILL RD
THOMAS PAINE PLAZA,1400-30 ARCH ST
THOMPSON MAIN,800-34 WALNUT ST
THORFINN KARLSEFNI,KELLY DR
THORPE SHULING,1301 N 61ST ST
"THREE DISCS, ONE LACKING",110 N 16TH ST
THREE JEWELS BUDDHIST TEMPLE,2501-15 S MARSHALL ST
THREE LOGAN SQUARE,1717 ARCH ST
THREE PARKWAY BUILDING,1600-46 RACE ST
